word,count,score
بارها,30002,24002
باریک,10349,28632
بازار,90357,21667
بازجو,619,20466
بازده,6176,22909
بازرس,3117,24575
بازگو,6639,20744
باسمه,69,25607
باسیل,657,26227
باصره,24,24645
باصفا,200,15763
باطری,157,27554
باطله,584,21169
باعزم,9,21757
باغچه,1221,18428
بافتن,816,24649
بافته,5126,23328
بافهم,2,24234
باقلی,17,24726
باکره,1619,25781
بالار,19,23003
بالان,131,21789
بالشت,35,22852
بالکن,1085,23568
بالنگ,12,23226
بالین,1211,28581
بامزه,340,24305
بامهر,2,29175
بانکی,8256,27418
بانمک,46,25799
باهمت,10,26966
باهنر,1059,29264
باهوش,2882,23700
بتکده,101,17317
بتونی,1033,23990
بتیار,4,31120
بحران,25489,26487
بحیره,32,21926
بخاری,2269,28431
بخردی,15,22176
بداخم,8,24113
بداهت,77,25570
بدایت,125,28421
بدایع,126,25547
بدبخت,289,13175
بدبده,3,11271
بدبین,1471,19384
بدجنس,274,16659
بدحال,114,21468
بدخلق,67,13257
بدخیم,1129,20873
بدذات,115,21897
بدرای,4,30630
بدرقه,831,19154
بدرود,1251,17922
بدشکل,104,14109
بدطعم,7,14597
بدعمل,12,16838
بدعنق,12,15392
بدعهد,3,12664
بدغذا,7,18078
بدفکر,8,17120
بدقدم,5,13910
بدقلق,18,11679
بدقول,3,15795
بدکار,155,25617
بدکنش,13,16429
بدکیش,9,17959
بدمزه,34,18050
بدمست,1,19678
بدمنش,3,19823
بدمهر,38,22920
بدنام,1911,27797
بدنما,19,27797
بدنیت,7,23651
بدویت,90,22505
بدیمن,55,24557
بدیهی,4483,18063
برائت,900,24398
برابر,341970,20061
برادر,63373,23838
براعت,30,25721
برایی,139,26853
برتری,21577,21088
برجیس,185,20888
برچسب,7006,13391
برحسب,4416,14101
برخور,48,15723
بردار,8321,23838
بردگی,4447,22035
بررسی,146297,19729
برزگر,233,13072
برشته,476,20295
برطبق,2260,12137
برطرف,9587,12265
برعکس,7074,16109
برگچه,150,15861
برگشت,20068,17791
برملا,1510,28176
برمنش,8,22522
برنده,56257,23009
برنزه,294,20838
برودت,406,22189
بروفق,1,17087
برهان,5248,29264
برهمن,652,24405
برهنه,4586,19232
برهوت,111,22353
بریات,4,31120
بریان,421,32115
بریدن,3182,25860
بریده,5245,24539
بریزن,3,23689
بزازی,29,21983
بزدلی,182,18670
بزرگی,98495,19864
بساطت,26,21461
بسامد,2474,25443
بساوش,21,22667
بستان,1128,26022
بستری,10990,23996
بستگی,24836,18957
بستوه,33,18785
بسنده,3089,19441
بسودن,23,19616
بسیار,398574,29761
بشارت,1664,26386
بشخصه,243,11773
بشریت,5407,23146
بشقاب,1415,17050
بشکوه,2,15447
بصیرت,879,21731
بضاعت,350,19574
بطالت,192,21495
بطلان,576,22490
بعینه,124,20941
بغاوت,13,22416
بغایت,61,25092
بقالی,173,24726
بقایا,480,21784
بکارت,932,26107
بکمال,19,23479
بلاغت,837,21242
بلاهت,23,24735
بلایا,410,23319
بلدان,31,25566
بلدیه,1375,21005
بلندا,463,25566
بلندی,11215,22326
بلوار,7827,27119
بلهوس,6,17460
بموقع,188,15642
بنادر,5501,29100
بنچاق,1,20708
بندشی,13,21442
بندگی,914,20821
بنزین,5627,17213
بنفسه,2,17199
بنگاه,3797,24225
بنیاد,30258,29416
بنیان,23951,25639
بوادی,3,28270
بوارق,2,25584
بوبین,82,19723
بوتیک,453,20507
بودار,45,27954
بودجه,27357,16546
بوران,548,29439
پوریا,82,30969
بوگان,8,24400
بومهن,82,22045
بهادر,915,27779
بهاره,917,24002
بهانه,7776,22788
بهایم,46,29491
بهایی,3022,24318
بهبود,55974,15387
به‌به,52,9288
بهتان,133,27055
به‌جز,4379,12053
بهدین,6,23325
بهرام,12189,29175
بهروز,2084,19692
بهشتی,5808,20611
بهمان,225,27961
بهیار,86,30794
بهیمی,15,19459
بی‌آب,188,12689
بی‌بر,4,18615
بی‌بی,2137,12139
بی‌جا,127,23330
بیجار,680,28012
بی‌حد,580,17080
بی‌حس,402,16211
بیختن,5,21452
بیخته,2,20131
بیداد,1025,24154
بیدار,6474,30630
بیرون,74906,26199
بیزار,1238,28459
بی‌زن,1,19007
بیسار,58,29761
بیشتر,437327,23146
بی‌شک,867,15976
بیضوی,2153,14790
بیطار,51,27554
بی‌غش,5,14645
بی‌غم,13,17760
بی‌کس,121,16826
بیگار,11,28290
بیلان,268,28581
بیمار,34831,32026
بی‌مو,53,21428
بینات,60,29906
بیوگی,25,15898
پابست,63,21658
پابند,249,23522
پاپوش,384,17104
پاتوق,511,20720
پاتیل,188,24931
پاچین,5,23438
پاداش,7477,16765
پارتی,3666,28465
پارچه,9237,21801
پارسا,1668,20314
پارسی,23926,27106
پارگی,2944,25635
پاساژ,995,13944
پاکار,285,19185
پاکوب,67,20378
پاگون,11,21745
پاگیر,342,25635
پالار,4,20348
پالیز,49,22270
پایان,264062,22984
پاییز,12818,19328
پایین,79345,22984
پچ‌پچ,5,3146
پختگی,533,14972
پدرام,333,26356
پدیده,21386,15408
پذیرا,966,24466
پذیرش,43470,16492
پربها,33,24900
پرپشت,292,13699
پرپیچ,283,14620
پرتاب,33516,25226
پرتره,2313,15582
پرثمر,146,12743
پرچین,419,19882
پرحجم,221,14870
پرحرف,79,10073
پرخاش,393,21042
پرخور,103,13068
پردگی,5,19380
پردیس,6670,20851
پررنج,12,13795
پررنگ,2897,14073
پرزور,21,13096
پرستش,8895,16607
پرستو,340,18665
پرسنل,7153,18486
پرسود,503,18175
پرشور,2802,13548
پرقوت,9,17164
پرکار,1354,19185
پرنده,18971,20354
پرنقش,30,16101
پروار,98,21522
پرواز,56568,23128
پرورش,34846,13548
پروزن,53,18358
پروژه,59787,15537
پروین,2676,23544
پرهیز,8937,19713
پریرو,26,18282
پریشی,762,16224
پزشکی,63891,13133
پزنده,6,15484
پژمان,634,21471
پژواک,502,16931
پژوهش,24482,11119
پستان,4091,23367
پستچی,238,15319
پسروی,274,21190
پلیدی,1038,14409
پنجره,10524,17736
پندار,1876,26445
پنهان,25245,20133
پوسته,8908,16130
پوشاک,5939,18883
پولاد,682,21765
پیاپی,10746,17722
پیاله,306,24605
پیامد,3049,26672
پی‌جو,4,14759
پیروز,27338,19888
پیروی,25588,18282
پیرهن,117,23369
پیشاب,45,23333
پیشتر,16554,20491
پیشرس,30,19132
پیشرو,8180,20340
پیشکش,2344,11527
پیشگو,571,15301
پیشوا,1809,23896
پیشین,53261,15010
پیکار,2942,25977
پیکان,3398,24763
پیکره,3028,19886
پیمان,28982,28157
پیوست,20148,18981
پیوند,42326,20845
تئاتر,30196,20845
تئوری,18925,21721
تابان,461,23114
تابلو,4532,24910
تابوت,3208,21968
تاتار,1002,20775
